id_inventario;nombre_articulo;tipo_modelo;color;marca;medida;existencia;entrada;salida
1;Lampara led;EG AR111;Blanco calido;ENERGAIN;120 - 14;2;50;32
2;Lampara led;EG LED 12W LUNA;blanco frio;ENERGAIN;120 -14;10;70;68
3;Lampara led;EG LED 12W LUNA;Blanco calido;ENERGAIN;120 - 14;15;60;56
4;Lampara escandesente;inodecostst4540wle;No aplica;luxe ;120-   40;4;0;0
5;Lampara escandesente;st1940watts;ambar glass;feit electric;120 -40;3;0;0
6;Lampara reflector;500R-FL-130;Blanco;feit electric;130 -500;2;0;0
7;Lmpara reflector;BR40-cl;Blanco calido;Lummi;120 - 250;1;0;0
8;Lampara cacahuate;JC20;blanco;teno lite;12 - -20;44;0;0
9;Lampara cacahuate;JC20;blanco;teno lite;120 - -20;39;0;0
10;Lampara cacahuate;jc10;blanco;teno lite;12 - -10;7;0;0
11;Lampara cacahuate;jc20;blanco;Leiting;12 - -20;25;0;0
12;Lampara led decroico;MR16smdled- 2.3wam;amaillo;teno lite;120 --;3;0;0
13;Lampara led decroico;MR16led-5.5watt.-30;calido;teno lite;127 - -5.5;3;0;0
14;lampara alogeno decroico;MR16130-20w-c;Blanco calido;teno lite;127 - -20;3;0;0
15;Lampara alogeno decroico;MR16130-50w;blaco calido;teno lite;130 - 50;1;0;0
16;Lampara alogeno decroico;MR-1650x;luz calado;voltek;130 - 50;12;0;0
17;Lampara alogeno decroico;GULO-35-C;luz calado;teno lite;130 - 35;2;0;0
18;Lampara led decroico;MR16-led-5.5w65;luz de dia;teno lite;130 - 5.5;16;0;0
19;Lampar halogeno decroico;jcdr+c;yello -marillo;laiting;130 - 50;9;0;0
20;Lampara  led ;EG-56w;blanco calido;energain;131 - 56;18;0;0
21;Lampara halogeno decroi;MR11130v 50wgx5.3;Blanco calido;CE;130 - 50;7;0;0
22;Lampara halogeno decroi;FTD;blanco calida;teno lite;12 - -20;5;0;0
23;foco perla;No aplica;blanco calido;durotex;120 - 60;0;0;0
24;foco perla acorasado;No aplica;blanco;durotex;120 - 60;6;20;17
25;lmpara led cacahuate;JCDO-LED -3W-30;luz CALIDO;teno lite;120- -3;0;47;27
26;Foco led (HAB);a19-led-012-65;luz de dia;teno lite;120- -11;18;66;72
27;Foco led (HAB);a19-led-012-65;luz calido;teno lite;120- -11;0;107;72
28;Lampara led akaba (HAB);YDCLED-315-B;lanco calido;teno lite;120 - 4;36;0;12
29;Luminaria led panel ;ML PA-30-120;Luz blaca;teno led;85,277- 36;3;0;1
30;Lamp. Florecente T8 ;F3218-tl865;Luz blaca;Phillip;100,277-32;17;0;0
31;Lamp. Florecen. T8. U ;FBO32-841-ECO;Luz blaca;Osram FORMA U;32;8;0;0
32;lamp Florce. Led Bace G13;EG-T8C-18W-2PIN;Luz blaca;energain;100,277-18;15;0;0
33;Lamp. Florce Led Base Fa8;EG-T8C-18W;Luz blaca;ENERGAIN;100,277-18;9;0;0
34;Globo o esfera cristal;n*4;BLACO ;No aplica;No aplica;3;0;0
35;Base p/foto celda;47229cofo-ls;azul;voltek;127 - 15;5;0;1
36;Foto celda;47228 sefo L.S;azul;voltek;127 - 8.45;6;0;2
37;base P/lampara (Estto.;cat 464-c;blaco;royer;250 - 1500;8;0;1
38;tira led rollo;No aplica;No aplica;No aplica;No aplica;1;3;3
39;Base p/Lam/decroica ;YD-118/b-c;blanco;teno lite;127 - 12;9;0;2
40;Base p/Lamp/decroica;YD-115-5;blanco;teno lite;127 - 50;4;0;0
41;Base p/Lamp/decroica;YD-220/s;negro;teno lite;127 - 50;1;0;0
42;Base p/Lamp/decroica;YD-220/n;negro;teno lite;127 - 50;5;0;0
43;Base tripie led p/2/ lamp;ELSWT220BG3-MX9;Verde limon;ECO;127 - 20;3;0;0
44;Luminario cuadrado /refle;100LQLEDT65NUN;aluminio;teno lite;100,277-100;1;0;0
45;Base p/Lamp/Buro (hab);No aplica;Blanco porselana;chino;120 - 00;9;0;1
46;red/Soke p/lampara;No aplica;aluminio;No aplica;250 - 660;21;0;1
47;Base p/lampara MR;46532popo12;blanco porselana;Volteck;127 -00;5;0;0
48;soke roscable porselana;46521  12  13;hueso;Volteck;127- 4;16;0;3
49;Terminales reptas p/CABLE;Para cable #14;amaillo;No aplica;127- 00;20;0;10
50;chupon p/cable;enpate de cable;rojo amarillo;No aplica;127 - 00;50;0;43
51;Base p/tubo floresente;floo5c   g13;blanco;No aplica;600 - 00;17;0;0
52;placa mudular 2 ventana E.;712921;hueso;leviton;No aplica;22;0;0
53;placa m. elec. 3 ventana;100-6202w;blanco;royer -100;No aplica;16;0;0
54;placa m. elec. 3 ventana;100-6204nw;blanco;royer -100;No aplica;16;0;0
55;Placa m. elec. 1 vntana;100 -6201w;blanco;royer;No aplica;4;0;0
56;Placa chasis ciega elec.;46141 popo-lb;blanco;volteck;No aplica;7;0;0
57;Placa p/int. Elec. (recetac.;46410 ppin dos;gris;voltck;No aplica;3;0;0
58;Placa p/Inteperie elec.;p11202-p;gris;igoto;No aplica;1;0;0
59;Apagador sensillo;100-6211w;blanco;royer-100;127 - 15A;11;0;8
60;contacto censillo ;ewd7113;blanco;royer;127 - 15 A;10;0;2
61;contacto p/ 220 ;V1877b;marfil;etn;250 - 20 A;2;0;0
62;recetaculo doble completo;eg6-100b;blanco;leviton;125 - 15 A;3;10;6
63;placa dos modolo elec.;2m50c0;blenco;leviton;No aplica;3;0;0
64;placa un modolo elec.;g913xx3;blanco;alpha;No aplica;3;0;1
65;contactor  trifasico;3rt2027-1an20;No aplica;siemens;220 -32-A;1;0;0
66;fuente de poder ;M 20 -12;aluminio;miras;E 110 s 12;2;0;0
67;controlador tecnoleo;ML-FP 250W-12;Aluminio;tecnoled;220 a 110 V;1;0;0
68;controlador dribeled;dribeled 12v-200w lp66;aluminio;driveled;100 a 240 v;1;0;0
69;inteructor de tablero;80602CA un tiro 2 polo;negro;cooper;127 - 10A;7;0;7
70;inteructor de tablero;arrow hart nom-042;aluminio  1X2 TIR;arroaw hart;127 15A 3/4;1;0;1
71;eslavon fuxible subestacion;5ge00-01 universal;aluminio;electramex;15kv-100A;5;0;0
72;clavija reforzado;No aplica;negro;leviton;127;10;5;13
73;tranformador;QTR- 403E;No aplica;quality;120-240-24;1;0;0
74;chalupa plastico;No aplica;verde;magna;No aplica;10;4;7
75;cortacircuito fusible;C F E;No aplica;Lusa;15KV 100A;2;0;0
76;Caja de registro elec.;4x4;galvanisado;No aplica;No aplica;5;0;0
77;Caja de registro elec.;3x3;galvanisado;No aplica;No aplica;1;0;0
78;Baslastro ele. ;758-232-mc T8;negro;LSB SOLA BACE           ;127 - 30-28;16;0;0
79;BALASTRO ELEC.;RES-3P14-4 N1724 t8;NEgro;Phillip;127-3X14;4;0;0
80;Balastro elec .;QTR 2X32 t8/UNV-SC;negro;Osran;127  2x32;4;0;0
81;Baslastro ele. ;n1624-1  T8/t12;GRIS;philips;127  2x60;16;0;0
82;Baslastro ele. ;res2p59-nT8;negro;philips;127  2x59;6;0;0
83;Balastro electronico;No aplica;gris;magg;127  2x78;9;0;0
84;Balastro elec.;un1798 T5;gris;philips;127  3x14;5;0;0
85;fusible renovable subestac;mercury nabaja;No aplica;mercury;600 v  400 A;4;0;0
86;Fusible renovable subestac;mercury nabaja;No aplica;mercury;600 v 200A;5;0;0
87;fusible renovable subestac;mercury nabaja;No aplica;mercury;250 v 100 A;5;0;0
88;Inteructor termomanectico;ul/CSANEMA KAAR;Neggro;delta;220 v 40 A;18;0;0
89;Inteructor termomanectico;n-5561   QOB;Negro;delta;220v 10 A;28;0;0
90;Inteructor termomanectico;n-5561   QOB;negro;delta;220 v 30 A;1;0;0
91;Inteructor termomanectico;n-5561   QOB;negro;delta;220v  40 A;7;0;0
